close,high,low,open,volume,time
382.7699890136719,384.1700134277344,376.32000732421875,376.3699951171875,25514200,2024-01-10 00:00:00-05:00
384.6300048828125,390.67999267578125,380.3800048828125,386.0,27850800,2024-01-11 00:00:00-05:00
388.4700012207031,388.67999267578125,384.6499938964844,385.489990234375,21645700,2024-01-12 00:00:00-05:00
390.2699890136719,394.0299987792969,387.6199951171875,393.6600036621094,27202300,2024-01-16 00:00:00-05:00
389.4700012207031,390.1099853515625,384.80999755859375,387.9800109863281,22234100,2024-01-17 00:00:00-05:00
393.8699951171875,393.989990234375,390.1199951171875,391.7200012207031,23392100,2024-01-18 00:00:00-05:00
398.6700134277344,398.6700134277344,393.5,395.760009765625,29272000,2024-01-19 00:00:00-05:00
396.510009765625,400.6199951171875,393.5899963378906,400.0199890136719,27016900,2024-01-22 00:00:00-05:00
398.8999938964844,399.3800048828125,393.92999267578125,395.75,20525900,2024-01-23 00:00:00-05:00
402.55999755859375,405.6300048828125,400.45001220703125,401.5400085449219,24867000,2024-01-24 00:00:00-05:00
404.8699951171875,407.010009765625,402.5299987792969,404.32000732421875,21021200,2024-01-25 00:00:00-05:00
403.92999267578125,406.1700134277344,402.42999267578125,404.3699951171875,17803300,2024-01-26 00:00:00-05:00
409.7200012207031,409.9800109863281,404.3299865722656,406.05999755859375,24510200,2024-01-29 00:00:00-05:00
408.5899963378906,413.04998779296875,406.45001220703125,412.260009765625,33477600,2024-01-30 00:00:00-05:00
397.5799865722656,415.32000732421875,397.2099914550781,406.9599914550781,47871100,2024-01-31 00:00:00-05:00
403.7799987792969,408.0,401.79998779296875,401.8299865722656,30657700,2024-02-01 00:00:00-05:00
411.2200012207031,412.6499938964844,403.55999755859375,403.80999755859375,28245000,2024-02-02 00:00:00-05:00
405.6499938964844,411.1600036621094,403.989990234375,409.8999938964844,25352300,2024-02-05 00:00:00-05:00
405.489990234375,407.9700012207031,402.9100036621094,405.8800048828125,18382600,2024-02-06 00:00:00-05:00
414.04998779296875,414.29998779296875,407.3999938964844,407.44000244140625,22340500,2024-02-07 00:00:00-05:00
414.1099853515625,415.55999755859375,412.5299987792969,414.04998779296875,21225300,2024-02-08 00:00:00-05:00
420.54998779296875,420.82000732421875,415.0899963378906,415.25,22012900,2024-02-09 00:00:00-05:00
